name	freq
visit	53
china	38
chinese	38
president	37
will	29
britain	27
state	26
golden	22
british	21
xis	20
decade	18
relations	18
cooperation	17
kingdom	16
united	16
first	15
jinping	15
chinauk	14
london	14
ties	13
jinpings	12
next	11
culture	10
elizabeth	10
new	10
queen	10
blair	8
buckingham	8
era	8
invitation	8
palace	8
part	8
says	8
week	8
education	7
pay	7
said	7
bilateral	6
cultural	6
financial	6
former	6
minister	6
oct	6
official	6
year	6
years	6
business	5
chinas	5
countries	5
country	5
