name	freq
china	13
chinese	12
japan	12
japanese	11
abe	7
political	7
said	7
war	6
website	6
diaoyu	5
hold	5
military	5
minister	5
victory	5
will	5
aggression	4
anniversary	4
donations	4
government	4
history	4
islands	4
prime	4
shinzo	4
spokesman	4
advisory	3
body	3
firms	3
foreign	3
japans	3
meeting	3
monday	3
peoples	3
resistance	3
senior	3
subsidies	3
tuesday	3
year	3
advisor	2
asked	2
chinas	2
commemorate	2
conscience	2
credibility	2
democratic	2
demonstrate	2
dialogue	2
diplomats	2
eastern	2
englishlanguage	2
events	2
