name	freq
australia	12
police	8
australian	6
says	5
trafficking	5
yearold	5
nakamoto	4
satoshi	4
sydney	4
alleged	3
asylum	3
craig	3
fears	3
fled	3
former	3
girl	3
human	3
investigator	3
reported	3
school	3
thai	3
trade	3
wright	3
abbott	2
actress	2
amber	2
anniversary	2
arrested	2
behind	2
bitcoin	2
case	2
country	2
creator	2
credited	2
currency	2
devising	2
dinosaur	2
discover	2
figures	2
general	2
guilty	2
head	2
heard	2
highly	2
home	2
implicated	2
influential	2
inquiry	2
investigating	2
islam	2
