name	freq
burundi	24
coup	23
president	18
nkurunziza	15
pierre	12
leaders	10
capital	7
failed	7
back	6
returns	6
troops	6
country	5
loyalist	5
tanzania	5
admit	4
collapsed	4
fighting	4
hospital	4
location	4
opponents	4
putsch	4
rival	4
said	4
secret	4
bujumbura	3
burundian	3
burundis	3
explosions	3
general	3
groups	3
gunfire	3
least	3
police	3
soldiers	3
state	3
three	3
violent	3
announces	2
arrested	2
broadcaster	2
clashes	2
control	2
detain	2
fails	2
fight	2
follow	2
footage	2
hunting	2
leader	2
live	2
