name	freq
china	14
chinese	8
beijing	6
crash	4
says	4
activists	3
building	3
chinas	3
claims	3
driver	3
sea	3
south	3
airstrip	2
ambassador	2
argentine	2
avoids	2
barriers	2
bonnet	2
british	2
campaign	2
car	2
carried	2
chinatown	2
coach	2
contested	2
crashes	2
falklands	2
ferrari	2
footage	2
images	2
incursions	2
lamborghini	2
leaking	2
man	2
minibus	2
motorway	2
policeman	2
policewoman	2
progress	2
rapid	2
russian	2
say	2
show	2
state	2
tingting	2
top	2
tunnel	2
university	2
watch	2
yearold	2
