name	freq
genocide	29
pope	20
francis	16
armenian	14
century	14
continue	13
first	13
reading	13
mass	10
turkey	10
armenians	7
centenary	7
ottoman	7
slaughter	7
anger	6
anniversary	6
kim	6
mark	6
ago	5
armenia	5
armenias	5
atrocities	5
calls	5
efforts	5
likely	5
years	5
comments	4
constituted	4
deaths	4
denies	4
empire	4
kanye	4
kardashian	4
killing	4
killings	4
massacre	4
massive	4
people	4
pontiffs	4
pronouncement	4
referred	4
special	4
three	4
tragedies	4
unprecedented	4
west	4
ahead	3
basilica	3
boosts	3
days	3
