name	freq
lorry	52
police	49
austria	44
people	38
austrian	36
migrants	35
continue	33
reading	32
found	30
truck	29
said	28
children	24
motorway	24
refugees	23
inside	22
bodies	21
town	18
hungarian	17
dead	16
abandoned	15
border	15
parndorf	15
suffocated	15
three	15
arrested	14
driver	14
country	13
near	13
thursday	13
close	12
europe	12
friday	12
german	12
stopped	12
afghanistan	11
death	11
discovered	11
road	11
syria	11
europes	10
hard	10
say	10
shoulder	10
bangladesh	9
four	9
toll	9
victims	9
appeared	8
austrias	8
containing	8
