name	freq
greece	99
greek	85
leaders	55
eurozone	54
brussels	47
continue	43
reading	43
deal	39
crisis	37
tsipras	37
new	32
will	32
debt	31
bailout	30
minister	28
bst	27
summit	27
eurogroup	26
meeting	26
finance	25
alexis	23
ministers	23
proposals	23
european	22
emergency	21
greeces	21
prime	21
athens	20
creditors	20
merkel	20
live	19
referendum	19
time	19
collapse	18
austerity	17
europe	17
talks	16
grexit	15
says	15
discuss	14
now	14
political	14
sunday	14
today	14
euro	13
german	13
latest	13
days	12
just	12
one	12
