name	freq
refugee	30
crisis	29
live	28
government	27
bst	26
abbott	25
canberra	24
syrian	23
will	23
minister	22
geneva	20
dutton	19
peter	19
people	18
years	16
continue	15
developments	15
reading	15
refugees	15
syria	15
immigration	14
australia	12
mps	12
politics	12
two	12
bad	11
canning	11
coalition	11
discuss	11
flies	11
fortnight	11
marks	11
office	11
polls	11
return	11
sittings	11
take	11
byelection	10
response	10
can	9
just	9
labor	9
time	9
tony	9
prime	8
question	8
trade	8
australian	7
camps	7
committee	7
