name	freq
greece	463
greek	415
referendum	273
continue	271
reading	261
vote	246
crisis	206
will	193
debt	179
bst	168
banks	155
says	143
yes	131
greeks	129
greeces	128
european	126
tsipras	126
athens	123
bailout	119
eurozone	117
euro	115
europe	99
country	96
varoufakis	95
live	94
people	94
financial	90
government	86
creditors	81
minister	81
imf	79
said	76
bank	73
sunday	73
sundays	72
deal	67
markets	65
just	64
week	61
monday	60
now	58
alexis	57
finance	56
poll	53
new	52
austerity	51
latest	51
one	51
polls	51
years	51
