name	freq
boat	45
libya	38
migrants	31
capsized	21
continue	19
reading	19
people	16
rescue	15
mediterranean	14
carrying	13
rescued	13
coast	12
thought	11
wednesday	11
miles	9
says	9
board	8
capsizes	8
coastguard	8
video	8
bodies	7
fishing	7
italian	7
said	7
dead	6
many	6
military	6
sicily	6
tunisia	6
vessel	6
will	6
appears	5
attempting	5
confirmed	5
gaddafi	5
migrant	5
one	5
recovered	5
side	5
still	5
two	5
unaccounted	5
action	4
alislam	4
believed	4
blame	4
call	4
capsizing	4
chaos	4
country	4
