name	freq
migrant	45
mediterranean	37
related	35
migrants	31
crisis	25
boat	16
continue	16
people	16
reading	16
board	14
death	14
malta	13
calls	12
italian	12
leaders	12
tragedies	12
least	11
bodies	10
european	10
guardian	10
reach	10
weekend	10
boats	9
distress	9
maltese	9
ministers	9
respond	9
toll	9
two	9
briefing	8
capsizing	8
coast	8
deaths	8
discuss	8
drowned	8
europes	8
italy	8
summit	8
talks	8
worsening	8
another	7
emergency	7
held	7
interior	7
monday	7
rescue	7
risking	7
antipathy	6
countries	6
curbed	6
