name	freq
debris	136
réunion	115
island	108
found	90
plane	86
malaysia	82
missing	82
airlines	75
continue	74
reading	73
boeing	66
flight	63
aircraft	58
ocean	58
indian	57
search	53
part	49
washed	41
french	39
malaysian	39
aest	38
wreckage	38
flaperon	36
said	36
almost	31
minister	31
piece	30
officials	28
possible	27
beijing	26
examine	26
wing	26
latest	25
says	25
certainly	23
fate	22
kuala	22
investigators	21
live	21
prime	21
will	21
clue	20
summary	20
updates	20
disappeared	19
lumpur	19
read	19
cameron	17
chinese	17
passengers	16
