name	freq
aest	378
will	305
indonesian	233
sukumaran	202
execution	186
indonesia	167
chan	161
time	139
prisoners	138
executions	133
death	129
president	126
myuran	122
nine	112
andrew	104
bali	104
family	102
just	99
said	97
families	94
please	89
says	88
last	86
told	86
mary	85
final	84
government	84
today	84
australian	82
jane	82
men	82
penalty	81
clemency	80
hours	79
nusa	79
one	79
two	79
widodo	77
veloso	76
tonight	73
still	72
firing	70
squad	70
kambangan	67
philippines	67
drug	65
people	64
take	64
show	63
dont	61
