name	freq
train	33
attack	21
continue	21
reading	21
norman	19
paris	19
amsterdam	18
said	16
three	16
gunman	14
suspected	14
dhonneur	13
france	13
french	13
légion	13
chris	12
briton	11
highest	11
honour	11
will	11
awarded	10
british	10
frances	9
jihadi	9
london	9
security	9
american	8
americans	8
helped	8
european	7
hollande	7
last	7
president	7
receive	7
discuss	6
home	6
man	6
ministers	6
passengers	6
travelling	6
water	6
along	5
businessman	5
fire	5
four	5
françois	5
ground	5
highspeed	5
men	5
monday	5
