name	freq
netanyahu	203
herzog	97
minister	91
likud	79
israel	76
polls	75
party	69
seats	68
election	65
will	63
prime	59
zionist	59
israeli	54
turnout	54
union	52
palestinian	51
arab	50
netanyahus	50
israels	48
coalition	47
reports	46
vote	45
binyamin	43
voters	42
parties	38
says	38
list	37
victory	36
elections	35
time	35
government	34
right	34
said	34
continue	33
exit	33
joint	33
reading	32
last	30
hours	29
now	28
former	27
political	25
voter	25
kahlon	23
knesset	23
kulanu	23
still	23
two	23
form	22
already	21
