name	freq
syria	134
russian	102
continue	99
syrian	97
reading	94
airstrikes	57
said	52
military	47
russia	45
state	45
says	42
isis	39
islamic	38
defence	31
secretary	30
nato	29
airspace	28
bashar	28
jets	25
president	25
targets	25
troops	25
turkish	24
war	24
will	24
city	23
forces	22
refugees	21
russias	21
ground	20
missiles	20
turkey	20
air	19
alassad	19
rebels	19
two	19
killed	18
new	18
regime	18
assad	17
offensive	17
sea	17
bombing	16
groups	16
arch	15
crisis	15
meeting	15
minister	15
one	15
putin	15
