name	freq
refugees	83
continue	66
reading	60
turkey	55
syrian	48
turkish	48
refugee	41
beach	37
kurdi	35
boy	34
crisis	34
aylan	32
said	27
take	26
washed	26
will	25
people	24
body	22
threeyearold	22
cameron	21
drowned	21
britain	20
children	20
thousands	20
government	19
pictures	19
says	19
british	18
east	18
europe	18
family	18
four	18
syria	18
two	18
help	17
police	17
images	16
middle	16
germany	15
greece	15
david	14
one	14
across	13
authorities	13
greek	13
journalists	13
migration	13
minister	13
week	13
whose	13
