name	freq
continue	497
reading	486
said	221
says	191
obama	166
new	165
will	155
hospital	149
syria	148
president	146
killed	125
bst	124
shooting	122
oregon	117
putin	116
people	115
pope	111
state	106
russian	102
one	98
msf	97
world	97
general	94
college	89
mass	86
afghanistan	80
kunduz	80
assembly	78
military	78
community	76
first	76
staff	75
two	75
city	74
forces	72
francis	71
years	71
york	71
airstrike	70
barack	69
russia	69
meeting	67
gun	65
afghan	62
leaders	62
states	62
time	62
vladimir	62
related	61
clinton	60
