name	freq
greece	42
bailout	26
minister	22
eurozone	21
greek	19
tsipras	17
new	16
alexis	14
debt	13
finance	13
greeces	13
plan	13
prime	13
referendum	13
creditors	12
euro	12
crisis	11
european	11
proposals	10
athens	8
tough	8
varoufakis	8
zone	8
international	7
meeting	7
monday	7
rejected	7
terms	7
yanis	7
day	6
ministers	6
sunday	6
vote	6
will	6
austerity	5
despite	5
emergency	5
overwhelmingly	5
announce	4
announcement	4
cashstrapped	4
come	4
concrete	4
country	4
countrys	4
deadline	4
deal	4
expected	4
financial	4
parliament	4
