name	freq
election	32
british	23
cameron	22
david	19
britain	18
minister	16
parliament	16
prime	15
britains	13
party	13
labour	12
vote	12
first	11
general	10
poll	10
conservative	9
conservatives	9
majority	9
new	9
national	8
parties	8
scottish	8
university	8
will	8
camerons	7
indian	7
just	7
one	7
polls	7
princess	7
results	7
three	7
thursday	7
victory	7
years	7
bank	6
britishindian	6
elected	6
enter	6
exit	6
friday	6
kingdom	6
may	6
scotland	6
sonlaw	6
top	6
back	5
charlotte	5
government	5
leaders	5
