name	freq
russia	10
military	9
russian	9
putin	8
syrian	6
president	5
said	4
vladimir	4
berlusconi	3
crimea	3
east	3
middle	3
satellite	3
syria	3
airstrip	2
alassad	2
artillery	2
assad	2
bashar	2
bottle	2
building	2
charges	2
council	2
director	2
elton	2
fiorina	2
foreign	2
former	2
hold	2
italian	2
jets	2
john	2
latakia	2
launched	2
meeting	2
monday	2
official	2
people	2
premier	2
preparing	2
prosecutors	2
proton	2
ria	2
rocket	2
russianoccupied	2
russians	2
says	2
second	2
security	2
silvio	2
