name	freq
greek	25
greece	18
deal	17
tsipras	17
brussels	16
said	13
european	12
imf	12
default	11
international	11
minister	11
will	11
yesterday	11
athens	10
creditors	10
end	10
government	10
prime	10
talks	10
alexis	8
differences	8
union	8
new	7
referendum	7
told	7
debt	6
euro	6
eurozone	6
merkel	6
party	6
strausskahn	6
billion	5
cameron	5
country	5
fund	5
greeces	5
major	5
monetary	5
month	5
officials	5
sides	5
aid	4
bailout	4
britains	4
cashreform	4
chief	4
countrys	4
debate	4
delegation	4
financial	4
