name	freq
ukraine	63
said	45
ukrainian	27
ceasefire	26
deal	20
debaltseve	19
eastern	19
rebels	19
russia	17
killed	15
town	15
forces	14
peace	14
separatists	14
talks	14
yesterday	14
leaders	13
president	13
fighting	12
france	12
putin	12
russian	12
will	11
conflict	10
germany	10
shelling	10
donetsk	9
government	9
kiev	9
merkel	9
one	9
ahead	8
artillery	8
military	8
new	8
russianbacked	8
strategic	8
territory	8
front	7
hub	7
midnight	7
minsk	7
people	7
petro	7
poroshenko	7
prorussian	7
railway	7
security	7
separatist	7
soldiers	7
