name	freq
euro	55
zone	52
reuters	45
brussels	38
greece	34
greek	32
finance	30
bailout	28
ministers	27
friday	26
said	25
european	20
deal	19
extension	14
athens	12
loan	12
months	12
eurogroup	11
extend	11
four	11
minister	11
sanctions	10
ukraine	10
will	10
agreement	9
greeces	9
new	9
official	9
programme	9
russian	9
thursday	9
union	9
officials	8
request	8
says	8
creditors	7
germany	7
international	7
list	7
financial	6
president	6
summit	6
commission	5
deputy	5
draft	5
extended	5
extending	5
government	5
reached	5
rescue	5
