name	freq
reuters	91
german	69
germanwings	54
said	54
alps	47
french	45
plane	43
berlin	42
crash	42
crashed	35
germany	33
cockpit	32
copilot	32
pilot	25
merkel	23
killing	22
minister	22
airbus	21
france	19
greek	18
deliberately	17
says	17
tuesday	17
germanys	15
lufthansa	15
people	15
thursday	15
tsipras	15
wednesday	14
angela	13
friday	13
investigators	13
jet	13
monday	12
new	12
lhagde	11
one	11
passenger	11
reported	11
times	11
voice	11
will	11
iran	10
nuclear	10
onboard	10
alexis	9
chancellor	9
crashing	9
everyone	9
greece	9
