name	freq
indias	10
reuters	9
new	8
delhi	7
india	6
appeal	4
court	4
faction	4
group	4
indian	4
kashmir	4
militant	4
scam	4
sources	3
splinter	3
string	3
top	3
agenda	2
allegations	2
andaman	2
attacks	2
blasts	2
bombay	2
bombings	2
clearing	2
condemned	2
convict	2
death	2
decades	2
discuss	2
disowned	2
disowns	2
dues	2
execution	2
exercises	2
indianoccupied	2
iran	2
jail	2
japan	2
killings	2
lastminute	2
memon	2
mumbai	2
muzaffarabad	2
naval	2
ocean	2
official	2
oil	2
pakistan	2
pakistanbased	2
