name	freq
iran	98
nuclear	86
reuters	73
talks	48
said	43
deal	39
lausanne	31
powers	25
irans	24
switzerland	24
agreement	20
saturday	19
iranian	18
world	18
european	16
foreign	16
monday	16
says	16
united	16
friday	15
kerry	14
president	14
still	14
washington	14
brussels	13
city	13
issues	13
next	13
programme	13
state	13
reach	12
states	12
tehran	12
official	11
officials	11
six	11
will	11
major	10
make	10
meet	10
thursday	10
week	10
minister	9
negotiations	9
obama	9
progress	9
saudi	9
secretary	9
tehrans	9
western	9
