name	freq
iraq	39
reuters	34
strikes	30
air	27
islamic	27
state	27
kurdish	24
syria	24
said	22
turkey	20
turkish	18
militants	17
northern	15
turkeys	14
military	12
allies	10
pkk	10
erdogan	9
istanbul	9
president	9
ankara	8
iraqs	8
nato	8
washington	8
assault	7
kurdistan	7
peace	7
tayyip	7
campaign	6
coalition	6
heaviest	6
iraqi	6
overnight	6
process	6
states	6
tuesday	6
united	6
fight	5
friday	5
hit	5
killed	5
launched	5
militant	5
statement	5
support	5
thursday	5
wednesday	5
accused	4
become	4
began	4
