name	freq
nepal	24
earthquake	16
reuters	15
kathmandu	12
last	10
buried	9
said	9
avalanche	8
devastating	8
months	8
village	8
bodies	7
official	7
people	5
says	5
search	5
set	5
trekkers	5
believed	4
climbers	4
everest	4
foreign	4
monday	4
nepals	4
officials	4
quake	4
senior	4
villagers	4
around	3
avalanches	3
bad	3
china	3
citizens	3
hundreds	3
magnitude	3
missing	3
rescue	3
thursday	3
valley	3
weather	3
years	3
body	2
buildings	2
catastrophic	2
closed	2
days	2
department	2
despite	2
dozens	2
due	2
