name	freq
palestinian	27
israeli	22
jerusalem	22
reuters	19
shot	13
dead	11
police	11
two	11
forces	9
violence	9
israel	8
said	8
three	8
attack	7
bank	7
killing	7
west	7
gaza	6
jewish	6
abating	5
occupied	5
palestinians	5
sign	5
stabbed	5
stabbing	5
along	4
attackers	4
death	4
egyptian	4
israelis	4
popular	4
saturday	4
security	4
showed	4
spree	4
terrorist	4
video	4
walkway	4
wednesday	4
ambassador	3
army	3
assailants	3
babys	3
celebrating	3
debate	3
described	3
government	3
heightened	3
incidents	3
inflames	3
