name	freq
reuters	124
state	71
said	70
washington	62
islamic	58
paris	46
syria	45
states	43
obama	41
united	40
john	38
president	38
killed	30
turkey	29
attacks	28
jihadi	27
strike	27
thursday	26
friday	25
military	25
attack	24
says	24
barack	22
white	22
air	21
house	20
officials	19
kerry	18
russian	18
monday	17
new	17
militant	16
two	16
france	15
leader	15
talks	15
election	14
group	14
iran	14
minister	14
sunday	14
american	13
belek	13
iraq	13
people	13
south	13
summit	13
band	12
fight	12
jordan	12
