name	freq
yemen	99
reuters	76
saudi	44
aden	42
houthi	39
said	38
iran	29
saudiled	29
air	27
yemeni	27
pakistan	26
military	25
yemens	23
minister	22
strikes	22
iranian	20
president	20
arabia	19
aid	16
wednesday	16
two	15
city	14
foreign	14
friday	14
medical	14
says	14
coalition	13
crisis	13
fighters	13
islamabad	13
united	13
campaign	12
irans	12
leader	12
dubai	11
calls	10
central	10
conflict	10
first	10
forces	10
sanaa	10
support	10
arms	9
former	9
local	9
militiamen	9
pakistani	9
parliament	9
residents	9
sunday	9
