name	freq
argentina	15
aires	9
buenos	9
president	8
argentine	7
mexico	6
congress	5
cover	5
prosecutor	5
judge	4
note	4
protest	4
purported	4
approved	3
argentinas	3
bombing	3
case	3
comments	3
cristina	3
fernandez	3
jewish	3
nadal	3
strassera	3
will	3
agency	2
center	2
cesar	2
city	2
drug	2
final	2
francis	2
intelligence	2
julio	2
measure	2
mexicanization	2
monaco	2
native	2
open	2
pope	2
possible	2
rising	2
satellite	2
says	2
send	2
station	2
sunday	2
throws	2
thursday	2
trafficking	2
vatican	2
