name	freq
greece	128
greek	71
athens	61
referendum	51
greeces	43
says	33
bailout	27
latest	27
financial	24
vote	24
greeks	23
crisis	20
debt	20
minister	20
will	19
new	18
european	17
stocks	17
creditors	16
eurozone	16
austerity	14
banks	13
countrys	13
prime	13
international	12
local	12
news	12
times	12
woes	12
bank	11
country	11
euro	11
finance	11
imf	11
polls	11
sunday	11
tsipras	11
whether	11
due	10
europe	10
markets	10
opinion	9
tuesday	9
deal	8
future	8
official	8
people	8
percent	8
stock	8
talks	8
