name	freq
indonesia	22
rohingya	10
boats	7
carrying	7
chief	7
foreign	7
killed	7
military	7
ban	6
journalists	6
philippine	6
travel	6
wanted	6
washed	6
ambassadors	5
jakarta	5
philippines	5
shore	5
sunday	5
ashore	4
community	4
crash	4
family	4
friends	4
indonesian	4
longpersecuted	4
members	4
migration	4
muslim	4
muslims	4
myanmars	4
myuran	4
official	4
papua	4
sukumaran	4
western	4
ago	3
amazing	3
announced	3
attention	3
bali	3
basit	3
bomb	3
bombmaker	3
church	3
confirmed	3
confirms	3
convicted	3
countrys	3
days	3
