name	freq
kenya	35
pope	31
nairobi	24
francis	22
latest	12
africa	11
kenyans	10
police	10
first	9
mass	7
attacks	6
dialogue	6
kenyas	6
local	6
times	6
trip	6
muslim	5
peace	5
says	5
conditions	4
extremist	4
forced	4
friday	4
guard	4
kenyan	4
message	4
public	4
slum	4
slumdwellers	4
thursday	4
access	3
adequate	3
admitted	3
arrested	3
assisting	3
barbarous	3
basic	3
chief	3
choice	3
christian	3
christianmuslim	3
custody	3
dignified	3
engage	3
essential	3
human	3
injustice	3
intelligence	3
iran	3
iranian	3
