name	freq
netherlands	14
hague	10
african	6
central	6
crimes	6
difficult	6
extremely	6
war	6
dutch	5
europol	5
chief	4
commander	4
five	4
foreigners	4
indonesia	4
offences	4
oil	4
palestinian	4
probe	4
project	4
qatar	4
republic	4
said	4
shell	4
surrendered	4
every	3
expected	3
foil	3
international	3
opened	3
possible	3
preliminary	3
prosecutor	3
says	3
statement	3
territories	3
terror	3
across	2
age	2
attack	2
attacks	2
bangui	2
brazil	2
charges	2
citizens	2
command	2
condemned	2
convicted	2
corner	2
court	2
