name	freq
nepal	17
runway	11
airport	10
kathmandu	9
international	8
nepals	7
turkish	7
airlines	5
blocked	5
jet	5
said	5
skidded	5
closed	4
day	4
passengers	4
thousands	4
kathmandus	3
tribhuwan	3
another	2
authority	2
aviation	2
canadian	2
capital	2
child	2
cleared	2
court	2
days	2
dense	2
destinations	2
everest	2
first	2
flights	2
fog	2
foreign	2
four	2
human	2
jetliner	2
just	2
landing	2
least	2
nepalese	2
official	2
officials	2
people	2
planes	2
problem	2
remain	2
reopened	2
reopens	2
safe	2
