name	freq
philippine	22
filipino	15
philippines	14
manila	13
resort	13
gunmen	10
abduct	6
arrested	6
brother	6
canadians	6
norwegian	6
says	6
former	5
military	5
southern	5
woman	5
abducted	4
attacks	4
forces	4
foreign	4
foreigners	4
hundreds	4
investigate	4
island	4
manager	4
militants	4
thailand	4
troops	4
two	4
will	4
anchor	3
asian	3
bank	3
development	3
environmentalist	3
exgovernor	3
governor	3
murder	3
police	3
prominent	3
radio	3
said	3
singapore	3
wanted	3
abu	2
adb	2
allies	2
capture	2
china	2
climate	2
