name	freq
syrian	88
syria	64
refugees	63
state	43
says	39
islamic	35
obama	34
paris	30
president	28
washington	26
group	25
refugee	25
house	23
united	22
barack	20
attacks	19
said	18
syrians	18
russian	17
airstrikes	16
republican	14
states	14
assad	13
war	13
fleeing	12
killed	12
minister	12
republicans	12
border	11
french	11
iraq	11
new	11
say	11
france	10
governors	10
nations	10
operations	10
syrias	10
turn	10
authorities	9
detained	9
government	9
official	9
plan	9
russia	9
thursday	9
will	9
bill	8
campaign	8
destroyed	8
