name	freq
paris	130
brussels	111
attacks	88
police	61
belgium	58
belgian	56
said	46
alert	30
french	30
france	29
people	25
suspected	25
killed	24
nov	20
security	20
attack	19
capital	18
raid	18
friday	17
abaaoud	16
last	16
level	16
suspects	16
threat	16
authorities	15
two	15
suspect	14
today	14
week	14
maximum	13
abdelhamid	12
european	12
islamic	12
minister	12
monday	12
state	12
suburb	12
syria	12
thursday	12
wednesday	12
imminent	11
saturday	11
suicide	11
tuesday	11
detained	10
government	10
highest	10
islamist	10
linked	10
raids	10
