name	freq
said	55
egypts	53
cairo	51
sinai	45
sources	45
killed	39
security	35
north	33
militants	31
egypt	28
prosecutor	26
attack	23
bomb	23
egyptian	23
public	23
state	22
islamic	20
car	19
islamist	16
militant	16
wednesday	15
military	14
monday	13
top	12
army	11
attacks	11
kills	11
ismailia	10
israel	10
president	10
checkpoints	9
forces	9
strikes	9
air	8
convoy	8
group	8
launched	8
least	8
years	8
attacked	7
people	7
police	7
rocket	7
says	7
statement	7
coordinated	6
death	6
fighting	6
fire	6
home	6
