name	freq
iran	118
nuclear	109
deal	60
netanyahu	48
minister	46
kerry	44
said	43
talks	41
irans	39
state	37
washington	33
foreign	28
prime	28
benjamin	27
israeli	27
obama	25
president	25
secretary	24
john	23
united	23
barack	21
program	21
will	21
iranian	20
congress	19
says	19
states	19
monday	18
tuesday	17
geneva	15
speech	15
montreux	14
wednesday	14
israel	13
israels	13
obamas	13
riyadh	13
zarif	13
gulf	12
switzerland	12
tehran	12
thursday	12
year	12
diplomacy	11
negotiations	11
work	11
islamic	9
progress	9
saudi	9
address	8
