name	freq
iran	52
netanyahu	50
nuclear	34
israel	33
israeli	33
minister	29
prime	29
benjamin	28
washington	27
deal	24
congress	18
israels	17
palestinian	17
said	17
speech	17
united	16
kerry	15
obama	15
president	15
states	14
will	13
barack	12
monday	12
diplomacy	10
security	10
talks	10
tuesday	10
leaders	8
address	7
bank	7
gaza	7
john	7
secretary	7
state	7
warned	7
wednesday	7
west	7
coordination	6
council	6
geneva	6
group	6
irans	6
jerusalem	6
montreux	6
officials	6
resume	6
says	6
switzerland	6
undercut	6
negotiations	5
