name	freq
libya	94
state	58
islamic	49
egypt	40
said	36
egyptian	35
cairo	32
air	31
libyan	28
strikes	26
targets	26
militants	24
monday	21
egyptians	19
bombs	17
tripoli	16
bombed	15
ambassador	14
beheading	14
christians	14
eastern	14
security	14
egypts	13
city	11
qatar	11
united	11
called	10
coalition	10
government	10
group	10
president	10
sisi	10
wednesday	10
car	9
says	9
sunday	9
video	9
abdel	8
agency	8
alsisi	8
attacks	8
claim	8
dispute	8
fattah	8
force	8
libyas	8
nations	8
released	8
residence	8
airport	7
