name	freq
kuala	55
lumpur	54
najib	44
prime	35
malaysia	34
minister	34
said	27
mdb	26
malaysian	25
million	25
says	22
razak	21
report	21
fund	18
personal	17
state	15
malaysias	14
accounts	13
money	13
wsj	12
year	12
account	11
development	11
bank	10
dutch	10
july	10
today	10
will	10
allegations	9
funds	9
must	9
wall	9
allegedly	8
ismail	8
johor	8
journal	8
leaders	8
opposition	8
political	8
prince	8
street	8
berhad	7
crown	7
downing	7
government	7
razaks	7
yesterday	7
airlines	6
corruption	6
friday	6
