name	freq
russia	55
ukraine	50
moscow	33
said	31
talks	29
new	25
military	24
fighting	21
kiev	21
sanctions	20
russian	19
thursday	19
eastern	17
peace	17
foreign	16
ukrainian	16
government	15
forces	14
ministers	13
putin	13
separatists	13
friday	12
killed	12
rebels	12
soldiers	12
brussels	11
east	11
european	11
hours	11
president	11
says	10
minsk	9
past	9
prorussian	9
russias	9
saturday	9
round	8
tuesday	8
crisis	7
reported	7
russianbacked	7
security	7
states	7
union	7
clashes	6
likely	6
minister	6
raged	6
representatives	6
spy	6
