name	freq
sweden	8
said	6
stockholm	5
swedish	5
assange	4
ecuador	4
signed	4
official	3
police	3
quito	3
security	3
tighten	3
years	3
alleged	2
allow	2
attacks	2
bridge	2
comments	2
custody	2
deal	2
denmark	2
ecuadors	2
embassy	2
emergency	2
european	2
foreign	2
founder	2
government	2
heightened	2
human	2
islamist	2
israel	2
julian	2
laureates	2
laws	2
legal	2
london	2
militant	2
minister	2
nations	2
nobel	2
pact	2
paris	2
questioned	2
questioning	2
record	2
remanded	2
rights	2
rwandas	2
selling	2
