name	freq
ukraine	195
said	97
ukrainian	80
kiev	70
debaltseve	61
ceasefire	59
russia	57
town	54
rebels	46
separatists	44
eastern	42
prorussian	42
fighting	41
east	38
forces	36
military	33
sanctions	33
troops	32
government	31
russian	30
says	30
peace	29
president	29
ukraines	28
despite	27
moscow	26
wednesday	25
deal	24
monday	24
poroshenko	23
european	21
new	21
heavy	20
killed	19
spokesman	19
weapons	19
germany	18
rebel	18
friday	17
leaders	17
thursday	17
will	17
minsk	16
truce	16
conflict	15
encircled	15
foreign	15
putin	15
strategic	15
tuesday	15
