name	freq
iraq	13
isis	10
american	9
killed	8
officials	7
prisoners	7
said	7
soldier	7
iraqi	6
first	5
airstrikes	4
commandos	4
forces	4
islamic	4
kurdish	4
raid	4
since	4
state	4
action	3
freeing	3
militants	3
withdrawal	3
americanled	2
british	2
can	2
captured	2
coalition	2
fighters	2
force	2
free	2
freed	2
fronts	2
hawija	2
helicopters	2
involving	2
near	2
open	2
operation	2
operations	2
outpost	2
pressure	2
prison	2
putting	2
raided	2
several	2
slain	2
special	2
sutton	2
targeted	2
thursday	2
