name	freq
yemen	16
saudi	11
airstrikes	7
arabia	7
civilian	5
pressure	5
saudiled	5
campaign	4
civilians	4
deaths	4
dozens	4
human	4
killed	4
rights	4
wedding	4
accused	3
attacks	3
bowing	3
conflict	3
groups	3
international	3
investigation	3
killing	3
military	3
people	3
united	3
war	3
added	2
aerial	2
along	2
anger	2
answered	2
bombing	2
britain	2
coalitions	2
coast	2
correspondent	2
critics	2
dismay	2
dropped	2
france	2
hit	2
houthi	2
indiscriminately	2
inquiry	2
kills	2
least	2
monday	2
mounting	2
nations	2
