name	freq
jimmy	14
morales	14
comic	8
political	7
presidential	7
runoff	7
comedian	6
guatemala	6
wins	6
guatemalas	5
presidency	5
class	4
government	4
anger	3
anticorruption	3
defeat	3
election	3
former	3
guatemalan	3
helped	3
huge	3
last	3
oust	3
outsider	3
popular	3
protests	3
selfstyled	3
voter	3
win	3
concedes	2
easily	2
exfirst	2
frustration	2
lady	2
monday	2
neophyte	2
next	2
now	2
office	2
politicians	2
president	2
remained	2
ridden	2
riding	2
sandra	2
sunday	2
sundays	2
tide	2
torres	2
unclear	2
