name	freq
rebels	10
colombia	8
latest	8
workers	7
colombian	6
poll	6
ambush	5
colombias	5
elections	5
guatemala	5
haiti	5
kill	5
regional	5
security	5
argentina	4
election	4
forces	4
hold	4
leftist	4
news	4
offices	4
presidency	4
votes	4
ambushed	3
enrique	3
group	3
job	3
killing	3
mayor	3
penalosa	3
area	2
ballots	2
bogota	2
candidate	2
capital	2
ceasefire	2
defeat	2
escorting	2
exbogota	2
governed	2
independent	2
indigenous	2
juan	2
last	2
left	2
manuel	2
mayoral	2
members	2
monday	2
mountain	2
