name	freq
mosque	25
attacks	22
kuwait	22
article	21
full	21
fears	20
friday	20
attack	19
islamic	19
continents	17
people	17
resort	17
three	17
shiite	16
tunisia	16
state	15
deadly	13
beirut	11
escalating	10
france	10
hit	10
violence	10
packed	9
raising	9
responsibility	9
terror	9
islamist	8
killed	8
ramadan	8
suicide	8
amid	7
beach	7
global	7
hours	7
killing	7
militants	7
beheaded	6
believe	6
bombed	6
bombing	6
claimed	6
disparate	6
factory	6
gunned	6
holy	6
imminent	6
month	6
reason	6
strikes	6
surge	6
