id	t2015-01	t2015-02	t2015-03	t2015-04	t2015-05	t2015-06	t2015-07	t2015-08	t2015-09	t2015-10	t2015-11	t2015-12	t2015-13	t2015-14	t2015-15	t2015-16	t2015-17	t2015-18	t2015-19	t2015-20	t2015-21	t2015-22	t2015-23	t2015-24	t2015-25	t2015-26	t2015-27	t2015-28	t2015-29	t2015-30	t2015-31	t2015-32	t2015-33	t2015-34	t2015-35	t2015-36	t2015-37	t2015-38	t2015-39	t2015-40	t2015-41	t2015-42	t2015-43	t2015-44	t2015-45	t2015-46	t2015-47	t2015-48	t2015-49	t2015-50	t2015-51	t2015-52	t2015-53
AFG	1	1	1	1	0.057853058485292	1	1	0.000750319787608383	0.104486227133339	1	1	1	0.470329108699351	1	0.00505340815828427	0.0490988132921287	0.289557736452194	1	0.418418133656199	0.00678311507805915	1	1	0.0496482695027603	1	1	0.147420751740946	0.0236230247697936	8.13787676387243e-05	0.201650743360063	0.0623566725774974	3.71751220895098e-10	0.005386125277631	1	0.145537109787094	0.376671696571905	1	1	0.999891901873361	0.99999999998492	2.08618214630276e-08	0.871710527976484	0.992129719241203	0.999998869921313	0.131853734582941	0.99773054340032	0.994999926052374	0.999999989526449	0.999999999103771	0.989939772291235	0.157707904324827	0.984651916473235	5.88259412271964e-08	0.563618594247486
AGO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AND	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.4036490060502e-10	1	1	1	1	1	0.00127804520183017	1	0.00716438597761849	1	1	1	1	1
ARG	1	1	1	1	1.15562341127452e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00501163609218857	1	1	0.000649263637112288	2.64897309679767e-05	0.173256997796027	1	0.000430602655700906	0.00795007338011708	1	0.224383554940995	0.00202219145346561	1	1
ARM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.29823773785093e-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AUS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.34268007326352e-05	1	1	1	0.0692155480163658	0.24448792484	0.298929585997802	0.244806027686958	0.167949072122678	0.000432418709629795	1	0.107981817224705	0.0515921394035815	0.161789284442185	0.0272102180413897	0.0106804552759058	1	1	1
AUT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.48180203179367e-08	6.4106303234669e-15	3.74616309886758e-19	1.62107413555997e-11	1	1	1	1	1	1.00372406458896e-08	1	1	0.605315775814107	1	1	0.746096257359863	1	0.4404519982352	0.144154390993152	1	0.561591389766785	1	1	1	1	1	1	1
AZE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.36729066021376e-11	1	1	1	1
BDI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.06756755708128e-15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.95535164034743e-08	1.39696440811201e-07	1	1	1	2.01673067219825e-17	1.66111791991321e-06	0.00714773228973339	1
BEL	1	1	1.31482853675273e-26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.02266956854487e-05	6.25928432233042e-07	1	1	1	1	7.32864662101187e-06	3.91882455250796e-11	1	1	1	1	1	1	1	1	1	1	0.129430385443072	1.06067399249373e-39	2.44722659657396e-32	0.989685930612224	1	0.99403916488864	0.846474206003065	0.000408895539644636
BEN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BFA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000103839622449461	1.53469286654212e-25	0.0402363271547852	1	1	1	1	1	1	1	0.2071908796744	0.285343858642271	1	1	1	1
