name	freq
rajoy	8
españa	7
electoral	5
campaña	4
mayoría	4
partidos	4
agresor	3
dos	3
elecciones	3
hizo	3
izquierda	3
mariano	3
participar	3
pontevedra	3
presidente	3
puñetazo	3
sondeos	3
tras	3
absoluta	2
acto	2
años	2
calle	2
cambio	2
ciudadanos	2
comicios	2
consecuencias	2
crucero	2
días	2
diecisiete	2
dio	2
españoles	2
europa	2
familia	2
físicas	2
fotos	2
francia	2
fuerte	2
gafas	2
gran	2
italia	2
jornada	2
joven	2
lucha	2
mayores	2
menores	2
noroeste	2
podemos	2
poder	2
resultados	2
rompieron	2
