name	freq
papa	15
francisco	13
cuba	9
ayer	7
hoy	7
visita	7
eeuu	6
unidos	5
viaje	4
días	3
drones	3
país	3
acoger	2
advirtió	2
blanca	2
borde	2
casa	2
complejo	2
creación	2
cubanos	2
dijo	2
entrevista	2
estadounidenses	2
exiliados	2
faa	2
filadelfia	2
frente	2
fronteras	2
humanidad	2
inmigrantes	2
irreversible	2
isla	2
largo	2
libre	2
maltratar	2
memorable	2
mutilados	2
países	2
periodistas	2
pontífice	2
próxima	2
rechazo	2
refugiados	2
reporteros	2
semana	2
septiembre	2
situación	2
tal	2
vienen	2
washington	2
