name	freq
elecciones	3
españa	3
española	3
gobierno	3
tras	3
años	2
asesinato	2
audiencia	2
barcelona	2
carmelo	2
castellano	2
chile	2
comunidad	2
consejero	2
contratos	2
copa	2
corrupción	2
delegado	2
destituyen	2
detenido	2
diligente	2
diplomático	2
eficaz	2
español	2
etapa	2
existe	2
existido	2
final	2
hace	2
himno	2
hinchas	2
investigación	2
investigado	2
irregularidades	2
juez	2
justificó	2
juzgar	2
municipales	2
nacional	2
ocurrido	2
país	2
partido	2
partidos	2
petición	2
pide	2
policía	2
rajoy	2
realizados	2
regional	2
rey	2
