name	freq
nepal	19
terremoto	17
sismo	9
país	8
muertos	7
cifra	5
tras	5
deja	4
heridos	4
katmandú	4
chilena	3
chilenos	3
connacionales	3
daños	3
desaparecida	3
devastador	3
familiares	3
hoy	3
india	3
luego	3
magnitud	3
mundo	3
ocurrido	3
trágico	3
varios	3
víctimas	3
visitante	3
afectado	2
afectó	2
alto	2
analizar	2
asia	2
bajó	2
bus	2
cancillería	2
carreteras	2
causó	2
científicos	2
comunicó	2
cortes	2
derrumbes	2
edificios	2
efectos	2
expertos	2
fatales	2
google	2
grados	2
gran	2
himalaya	2
investigadores	2
