name	freq
oposición	13
mayoría	10
maduro	8
venezuela	7
chavismo	5
legislativas	5
nacional	5
opositora	5
unidad	5
asamblea	4
derrota	4
diputados	4
elecciones	4
electoral	4
mesa	4
mud	4
tras	4
venezolana	4
alta	3
cambio	3
coalición	3
definen	3
democrática	3
futuro	3
legislativo	3
polarización	3
presidente	3
resultados	3
venezolanos	3
años	2
ayer	2
cabello	2
cambios	2
capriles	2
chilenos	2
cne	2
comicios	2
después	2
dijo	2
diosdado	2
dirigente	2
domingo	2
dos	2
económica	2
escaños	2
frente	2
gran	2
henrique	2
hoy	2
junto	2
