name	freq
gobierno	12
grecia	12
griego	12
tsipras	10
ministro	9
syriza	8
nuevo	6
elecciones	5
griegas	5
primer	5
victoria	5
atenas	4
tras	4
troika	4
absoluta	3
bruselas	3
eurogrupo	3
europeos	3
mayoría	3
medidas	3
merkel	3
triunfo	3
abre	2
amenazaba	2
anuncia	2
bancos	2
bolsa	2
cara	2
castigo	2
catalunya	2
deja	2
deuda	2
económica	2
ello	2
estreno	2
finanzas	2
materia	2
periódico	2
plan	2
planta	2
portada	2
prensa	2
primeras	2
propuestas	2
prorroga	2
quita	2
reaccionan	2
reservas	2
rueda	2
rusia	2
