name	freq
parís	20
francia	16
semanario	15
satírico	14
atentado	10
charlie	10
hebdo	10
alerta	9
dos	9
ataque	7
francés	6
personas	6
policías	6
terrorista	6
terroristas	6
actualizaciones	5
armados	5
atentando	5
creen	5
directo	5
hollande	5
noticias	5
sede	5
tres	5
últimas	5
ataques	4
atentados	4
buscan	4
decidir	4
duelo	4
eleva	4
expertos	4
hombres	4
moviliza	4
muertos	4
nivel	4
autores	3
bruselas	3
día	3
doce	3
formación	3
franceses	3
fuerzas	3
griegos	3
libres	3
menos	3
militar	3
nuevos	3
país	3
policía	3
