name	freq
grecia	8
tsipras	6
syriza	5
gobierno	4
griegos	4
ministro	4
nuevo	4
partido	4
democracia	3
elecciones	3
finanzas	3
ganar	3
griego	3
izquierdista	3
nueva	3
obtendría	3
primer	3
quedaría	3
recuento	3
rescate	3
según	3
tsakalotos	3
ventaja	3
votos	3
vuelve	3
alíe	2
amplia	2
anel	2
aplicar	2
asumir	2
aumento	2
croacia	2
derecha	2
elegir	2
esfuerza	2
extrema	2
fuerte	2
griega	2
grupo	2
independientes	2
lamenta	2
llegada	2
próximo	2
purga	2
refugiados	2
reticencias	2
schulz	2
superministerio	2
tercer	2
vencer	2
